system:index,elevation_m,index,latitude,longitude,pet_mm,pr_annual_range_mm_mean,pr_mm,temp_annual_range_C_mean,tmean_C,vpd_kPa,.geo
000000000000000002a9_0,683,321.0,-17.220000379660426,-46.88000087822415,1059.2712418300653,368.6666666666667,116.73692810457516,187.54901960784315,228.06128,94.55718954248366,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000161_0,277,322.0,-12.62000065112776,-47.87999888046993,1154.6437908496732,325.2156862745098,111.74673202614379,193.86274509803923,254.70425,112.64379084967321,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000269_0,277,323.0,-12.62000065112776,-47.87999888046993,1154.6437908496732,325.2156862745098,111.74673202614379,193.86274509803923,254.70425,112.64379084967321,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b2_0,277,324.0,-12.62000065112776,-47.87999888046993,1154.6437908496732,325.2156862745098,111.74673202614379,193.86274509803923,254.70425,112.64379084967321,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000026b_0,807,325.0,-15.849999549302874,-48.96000207381662,1084.174836601307,370.7647058823529,138.6437908496732,149.05882352941177,227.20506,90.95915032679738,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a6_0,807,326.0,-15.849999549302874,-48.96000207381662,1084.174836601307,370.7647058823529,138.6437908496732,149.05882352941177,227.20506,90.95915032679738,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ab_0,807,327.0,-15.849999549302874,-48.96000207381662,1084.174836601307,370.7647058823529,138.6437908496732,149.05882352941177,227.20506,90.95915032679738,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000084_0,596,328.0,-9.670002085401677,-38.67000211884278,1134.638888888889,123.92156862745098,43.64705882352941,166.13725490196077,223.08987,83.28104575163398,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000009b_0,596,329.0,-9.670002085401677,-38.67000211884278,1134.638888888889,123.92156862745098,43.64705882352941,166.13725490196077,223.08987,83.28104575163398,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000bd_0,596,330.0,-9.670002085401677,-38.67000211884278,1134.638888888889,123.92156862745098,43.64705882352941,166.13725490196077,223.08987,83.28104575163398,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000000f3_0,596,331.0,-9.670002085401677,-38.67000211884278,1134.638888888889,123.92156862745098,43.64705882352941,166.13725490196077,223.08987,83.28104575163398,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b5_0,596,332.0,-9.670002085401677,-38.67000211884278,1134.638888888889,123.92156862745098,43.64705882352941,166.13725490196077,223.08987,83.28104575163398,"{""type"":""MultiPoint"",""coordinates"":[]}"
